,open,high,low,close,volume,date_time,headline,positive,negative,neutral
0,591.89,592.01,591.89,592.01,1242.0,2021-09-07 04:40:00,"Best free VPN for secure browsing on PC, iPhone, Fire TV stick and more",0.21643546,0.009391909,0.77417266
1,595.822,595.822,595.822,595.822,254.0,2021-09-07 08:27:00,"Five Top Stock Gainers for Tuesday: Match, Spotify, Netflix",0.15811832,0.01968839,0.8221933
2,595.8,596.0,595.8,596.0,1229.0,2021-09-07 08:45:00,Netflix Stock Attracts Big Money,0.45756987,0.016735045,0.5256951
3,603.49,603.66,601.88,602.31,37601.0,2021-09-07 09:51:00,25 Happiest Countries in the World,0.17601112,0.031873252,0.7921156
4,603.425,604.37,603.38,604.37,16378.0,2021-09-07 10:02:00,Here's How Far Netflix Stock Can Rally Now,0.2992028,0.013036281,0.6877609
5,604.812,605.869,604.75,605.4018,33163.0,2021-09-07 10:05:00,"Dow Jones Today, Stocks Start Lower, But China Names Rally; Tesla Powers Up, Netflix Gets A Lofty Target",0.80170316,0.12975672,0.06854022
6,607.3165,607.55,607.27,607.27,7032.0,2021-09-07 10:36:00,This Analyst Sees 32% Upside In Netflix - Read Why?,0.1041439,0.038300883,0.85755515
7,610.4,610.52,609.78,610.055,12805.0,2021-09-07 11:25:00,"Strategist talks Federal Reserve, bonds, and Tesla stock price",0.02726688,0.034931943,0.9378012
8,612.18,612.4999,611.6,611.9031,9300.0,2021-09-07 12:10:00,Why Netflix Shares Are Trading Higher Today,0.320789,0.017433178,0.6617778
9,610.78,610.78,610.491,610.59,4366.0,2021-09-07 13:44:00,"Dow Jones Falls 175 Points, But Apple Hits All-Time High; Tesla Up, Bitcoin Tanks 9%",0.75670505,0.13764586,0.10564912
10,606.59,606.85,606.57,606.71,52852.0,2021-09-07 16:00:00,"US STOCKS-S&P 500 ends down, Big Tech lifts Nasdaq to record",0.07475496,0.8827837,0.042461365
11,607.1,607.1,607.1,607.1,131.0,2021-09-07 16:08:00,Netflix Stock Surges Ahead Of Busy Schedule Of New Content Releases,0.40150622,0.53887826,0.059615485
12,606.29,606.29,606.29,606.29,205.0,2021-09-08 01:36:00,The Value and Growth Drivers that Justify Netflix's (NASDAQ:NFLX) Current Valuation,0.06104875,0.011136149,0.9278151
13,606.29,606.29,606.29,606.29,205.0,2021-09-08 04:03:00,Sorell's S4Capital continues deal spree with Cashmere merger,0.09287761,0.14744663,0.7596757
14,606.0,606.0,606.0,606.0,223.0,2021-09-08 05:00:00,"Big Techs Grip Will Ease as Rivals Grow, LinkedIn Founder Says",0.91787374,0.017743194,0.064383104
15,606.0,606.0,606.0,606.0,223.0,2021-09-08 05:27:00,Netflix Target Up as JPMorgan Sees 'Linear-TV Disruption',0.14916807,0.82992876,0.020903131
16,608.0,608.0,607.0,607.0,1620.0,2021-09-08 07:21:00,Why Impeachment: American Crime Story Is Not Available to Hulu On-Demand Subscribers,0.019633992,0.08424111,0.8961249
17,606.0,606.0107,606.0,606.0107,629.0,2021-09-08 08:17:00,"Dow Jones Futures: Apple Leads Market Rally; Tesla China Sales, PayPal Deal, Bitcoin In Focus",0.8943854,0.026283123,0.07933147
18,606.58,606.58,606.58,606.58,218.0,2021-09-08 08:55:00,Apple stock is up ahead of the iPhone 13 reveal,0.9036654,0.01376191,0.08257266
19,613.86,613.8816,612.85,613.68,28126.0,2021-09-08 10:12:00,How This Social Platform Became The LinkedIn Of The Entertainment World,0.039787177,0.038195617,0.92201716
20,603.17,604.5792,603.17,603.63,34124.0,2021-09-08 10:48:00,Tech sector has no shortage of opportunities,0.21603568,0.009673787,0.77429056
21,601.975,601.975,601.47,601.69,5235.0,2021-09-08 11:48:00,Wrong Time to Buy Netflix,0.03953315,0.27551305,0.68495375
22,606.5385,607.04,606.5,606.895,10963.0,2021-09-08 14:30:00,Netflix stock has been on a tear  here's why,0.050509088,0.5753294,0.37416145
23,606.13,606.13,606.13,606.13,931.0,2021-09-08 14:56:00,"Stock Picks: Nvidia, Facebook Reveal 7 Telltale Traits Of Top Stocks To Buy And Watch",0.112848885,0.0148153305,0.8723358
24,605.81,605.98,605.78,605.87,9448.0,2021-09-08 15:33:00,Apple App Store Changes Fail to Stem Push for Overhaul Bill,0.08694588,0.8190092,0.094044976
25,605.8,605.8,605.8,605.8,200.0,2021-09-09 06:17:00,4 Stocks Insiders Are Selling,0.02401183,0.08169764,0.89429057
